Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C101,C,1 µF,CL31B105KBHNNNE,Samsung Electro-Mechanics,,,https://jlcpcb.com/partdetail/2200-CL31B105KBHNNNE/C1848,C_1206_3216Metric,50V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,1
2,H101 H102,MountingHole_Pad,~,N/A,N/A,,,,MountingHole_3.2mm_M3_Pad,Mounting Hole M3,2
3,J103,RJ45_LED_Shielded,Control,RJHSE-538B,Amphenol Communications Solutions,,,https://www.tme.eu/de/details/rjhse538b/rj-steckverbinder/amphenol-communications-solutions/rjhse-538b/,RJ45_Amphenol_RJHSE538X,"Buchse; RJ45; Kat: 5; abgeschirmt,mit LED; System: 8p8c; THT",1
4,J101 J102 J104,Conn_02x05_Odd_Even,Serial,DS1021-2*5SF11-B,CONNFLY,,,https://www.tme.eu/de/details/zl202-10g/stiftleisten-und-buchsen/connfly/ds1021-2-5sf11-b/,PinHeader_2x05_P2.54mm_Vertical,"Stiftleiste; Stift; männlich; PIN: 10; gerade; 2,54mm; THT; 2x5; L3mm",3
5,R101 R102 R103 R104 R105 R106 R107 R108 R110 R111,R,1 kΩ,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),,,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,R_0402_1005Metric,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% -55℃~+155℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS,10
6,R109,R,1 MΩ,0805W8F1004T5E,UNI-ROYAL(Uniroyal Elec),,,https://jlcpcb.com/partdetail/18202-0805W8F1004T5E/C17514,R_0805_2012Metric,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 1MΩ 0805 Chip Resistor - Surface Mount ROHS,1
7,U101 U102 U103 U104,EL817,EL817,EL817S1(C)(TU)-F,Everlight Elec,,,https://jlcpcb.com/partdetail/EverlightElec-EL817S1_C_TU_F/C106900,SMDIP-4_W7.62mm,"35V 5000V -55℃~+110℃ 50mA 18us@2mA,100Ω 18us@2mA,100Ω 0.1V@1mA,20mA 1 6V 1.2V Phototransistor DC SMD-4 Optocouplers - Phototransistor Output ROHS",4





Project info:
Schematic:,nascontrol-remote
Variant:,default
Revision:,0.1
Date:,2023-01-11
KiCad Version:,7.0.9-7.0.9~ubuntu23.04.1
Statistics:
Component Groups:,7
Component Count:,22
Fitted Components:,22
Number of PCBs:,1
Total Components:,22
