"Designator","MPN","Quantity Per PCB","Link"
"C201,C202,C203,C204,C205,C206,C207","CL05B104KB54PNC","7","https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331"
"C101","CL31B105KBHNNNE","1","https://jlcpcb.com/partdetail/2200-CL31B105KBHNNNE/C1848"
"D201","NUP2105LT1G","1","https://jlcpcb.com/partdetail/TechPublic-NUP2105LT1G/C2890118"
"FB301,FB302","GZ2012D101TF","2","https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015"
"R201","1206W4F1200T5E","1","https://jlcpcb.com/partdetail/18597-1206W4F1200T5E/C17909"
"R101,R102,R103,R104,R105,R106,R107,R108,R110,R111","0402WGF1001TCE","10","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702"
"R109","0805W8F1004T5E","1","https://jlcpcb.com/partdetail/18202-0805W8F1004T5E/C17514"
"U101,U102,U103,U104","EL817S1(C)(TU)-F","4","https://jlcpcb.com/partdetail/EverlightElec-EL817S1_C_TU_F/C106900"
"U202","SIT3485ISO","1","https://jlcpcb.com/partdetail/Sit-SIT3485ISO/C2974613"
"U201","SP3232EEY-L/TR","1","https://jlcpcb.com/partdetail/Maxlinear-SP3232EEY_LTR/C13482"
"U301,U302","USBLC6-2SC6","2","https://jlcpcb.com/partdetail/TechPublic-USBLC62SC6/C2827654"
