"Comment","Designator","Footprint","LCSC Part #"
"100n","C201,C202,C203,C204,C205,C206,C207","C_0402_1005Metric","C307331"
"1µ","C101","C_1206_3216Metric","C1848"
"NUP2105L","D201","SOT-23","C2890118"
"FerriteBead_Small","FB301,FB302","L_0805_2012Metric","C1015"
"120","R201","R_1206_3216Metric","C17909"
"1k","R101,R102,R103,R104,R105,R106,R107,R108,R110,R111","R_0402_1005Metric","C11702"
"1M","R109","R_0805_2012Metric","C17514"
"EL817","U101,U102,U103,U104","SMDIP-4_W7.62mm","C106900"
"SIT3485ISO","U202","SOIC-16W_7.5x10.3mm_P1.27mm","C2974613"
"SP3232","U201","TSSOP-16_4.4x5mm_P0.65mm","C13482"
"USBLC6-2SC6","U301,U302","SOT-23-6","C2827654"
