Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","1µ","C_1206_3216Metric",106.0000,-95.0000,-90.0000,top
"C201","100n","C_0402_1005Metric",136.4000,-109.6000,0.0000,top
"C202","100n","C_0402_1005Metric",137.9800,-111.0000,0.0000,top
"C203","100n","C_0402_1005Metric",133.8000,-106.6000,180.0000,top
"C204","100n","C_0402_1005Metric",139.6000,-109.6000,0.0000,top
"C205","100n","C_0402_1005Metric",120.4000,-99.8000,90.0000,top
"C206","100n","C_0402_1005Metric",136.0000,-100.2000,0.0000,top
"C207","100n","C_0402_1005Metric",133.6000,-99.6000,90.0000,top
"D201","NUP2105L","SOT-23",115.0000,-94.0000,180.0000,top
"FB301","FerriteBead_Small","L_0805_2012Metric",115.0000,-142.0000,0.0000,top
"FB302","FerriteBead_Small","L_0805_2012Metric",115.0000,-116.0000,0.0000,top
"R101","1k","R_0402_1005Metric",133.3000,-79.0000,-90.0000,top
"R102","1k","R_0402_1005Metric",121.0000,-68.5000,-90.0000,top
"R103","1k","R_0402_1005Metric",133.3000,-85.2500,-90.0000,top
"R104","1k","R_0402_1005Metric",121.0000,-82.5000,-90.0000,top
"R105","1k","R_0402_1005Metric",118.5500,-85.1500,90.0000,top
"R106","1k","R_0402_1005Metric",119.5000,-68.5000,-90.0000,top
"R107","1k","R_0402_1005Metric",117.2000,-73.6000,90.0000,top
"R108","1k","R_0402_1005Metric",133.5000,-65.7500,-90.0000,top
"R109","1M","R_0805_2012Metric",102.2500,-95.0000,-90.0000,top
"R110","1k","R_0402_1005Metric",119.0000,-82.0000,180.0000,top
"R111","1k","R_0402_1005Metric",133.5000,-72.7500,-90.0000,top
"R201","120","R_1206_3216Metric",118.5000,-96.0000,90.0000,top
"U101","EL817","SMDIP-4_W7.62mm",127.2750,-79.0000,0.0000,top
"U102","EL817","SMDIP-4_W7.62mm",127.2750,-86.0000,0.0000,top
"U103","EL817","SMDIP-4_W7.62mm",127.2750,-65.0000,180.0000,top
"U104","EL817","SMDIP-4_W7.62mm",127.2750,-72.0000,180.0000,top
"U201","SP3232","TSSOP-16_4.4x5mm_P0.65mm",138.0000,-105.0000,90.0000,top
"U202","SIT3485ISO","SOIC-16W_7.5x10.3mm_P1.27mm",127.0000,-95.9250,180.0000,top
"U301","USBLC6-2SC6","SOT-23-6",120.0000,-132.0000,0.0000,top
"U302","USBLC6-2SC6","SOT-23-6",120.0000,-106.0000,0.0000,top
